shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_1305100,40.7307014547918,-74.0326754768832,19,4589.9080798
p_1305100,40.7309221862113,-74.0321825320577,20,4638.22903413
p_1305100,40.7309221862113,-74.0313310819053,21,4710.15648954
p_1305100,40.7309947136324,-74.0254837223624,22,5204.18584221
p_1305100,40.73295,-74.00707,23,6774.76821337
p_1305100,40.7329687924524,-74.007062670181,24,6776.94500976
p_1305100,40.73735,-73.99684,25,7768.09365461
p_1305100,40.74912,-73.98827,26,9262.18152139
p_1305101,40.73301,-74.06289,1,0
p_1305101,40.7327586527011,-74.0633990714521,2,51.26743361
p_1305101,40.72658881793,-74.056463791513,3,952.75896152
p_1305101,40.7255151028918,-74.0562716631741,4,1073.09326266
p_1305101,40.7247472143148,-74.0558630952416,5,1165.08741049
p_1305101,40.7240660154229,-74.0552747574153,6,1255.60250268
p_1305101,40.7231123252623,-74.0540163681807,7,1405.66626113
p_1305101,40.7226540536953,-74.0530684905668,8,1500.5509766
p_1305101,40.721968757483,-74.050804744428,9,1706.3929853
p_1305101,40.7194983170973,-74.0426570180573,10,2447.43977937
p_1305101,40.71966,-74.04245,11,2472.50585604
p_1305101,40.7192912947193,-74.0421874885865,12,2519.07160667
p_1305101,40.7175202092649,-74.0363997489497,13,3046.15912305
p_1305101,40.7174794164882,-74.0360230023564,14,3078.31242465
p_1305101,40.7175915965779,-74.0357000767033,15,3108.30679658
p_1305101,40.7178057580481,-74.0355520691103,16,3135.17663997
p_1305101,40.72699,-74.03383,17,4165.39868324
p_1305101,40.7303279076443,-74.0328995427128,18,4544.31165163
p_1305101,40.7307014547918,-74.0326754768832,19,4589.9080798
p_1305101,40.7309221862113,-74.0321825320577,20,4638.22903413
p_1305101,40.7309221862113,-74.0313310819053,21,4710.15648954
p_1305101,40.7309947136324,-74.0254837223624,22,5204.18584221
p_1305101,40.73295,-74.00707,23,6774.76821337
p_1305101,40.732933,-74.007072,24,6776.66358686
p_1305101,40.733063376705,-74.006347192451,25,6839.57934215
p_1305101,40.733220598109,-74.005356156731,26,6925.09690909
p_1305101,40.733402014426,-74.004219544289,27,7023.20122827
p_1305101,40.73357840425,-74.003059255928,28,7123.15260756
p_1305101,40.733764107205,-74.001874426567,29,7225.34106549
p_1305101,40.733902421332,-74.00081586837,30,7316.06994444
p_1305101,40.734010497257,-74.000053322754,31,7381.59268091
p_1305101,40.734069,-73.999656,32,7415.77850315
p_1305101,40.734150259457,-73.999223186508,33,7453.43642975
p_1305101,40.734249,-73.999107,34,7468.15229654
p_1305101,40.734783,-73.99871,35,7536.27802022
p_1305101,40.735031,-73.998542,36,7567.25941731
p_1305101,40.735389,-73.998275,37,7612.96684646
p_1305101,40.73603,-73.997802,38,7694.59574958
p_1305101,40.736667,-73.997337,39,7775.50722102
p_1305101,40.737354,-73.996849,40,7862.22167194
p_1305101,40.737361,-73.996841,41,7863.25166867
p_1305101,40.738044,-73.996337,42,7950.22883503
p_1305101,40.738685,-73.995872,43,8031.52838596
p_1305101,40.739273,-73.995445,44,8106.12394514
p_1305101,40.73986,-73.995018,45,8180.62216998
p_1305101,40.74044,-73.99459,46,8254.48233871
p_1305101,40.741031,-73.994163,47,8329.36924946
p_1305101,40.741615,-73.993736,48,8403.57570361
p_1305101,40.742233,-73.993293,49,8481.74128407
p_1305101,40.7429,-73.992805,50,8566.50671088
p_1305101,40.742912,-73.992797,51,8568.00081461
p_1305101,40.743568,-73.992317,52,8651.37008986
p_1305101,40.744186,-73.991874,53,8729.53516689
p_1305101,40.7448,-73.991416,54,8807.92770729
p_1305101,40.745422,-73.990966,55,8886.76605764
p_1305101,40.746036,-73.990516,56,8964.82707316
p_1305101,40.746658,-73.990066,57,9043.66509731
p_1305101,40.747276,-73.989616,58,9122.11407501
p_1305101,40.747894,-73.989158,59,9200.89242441
p_1305101,40.748504,-73.988708,60,9278.56508575
p_1305101,40.749037136642,-73.988332652779,61,9345.72169879
p_1305101,40.749114,-73.988273,62,9355.63314655
p_1425124,40.739380096405,-74.155762830688,1,0
p_1425124,40.738877576581,-74.156573951065,2,88.36303534
p_1425124,40.737598400232,-74.158985498703,3,336.69910357
p_1425124,40.737221210054,-74.159736805588,4,412.73757614
p_1425124,40.736566616787,-74.160971265915,5,539.84797615
p_1425124,40.73590366022,-74.162094709045,6,659.95378407
p_1425124,40.735625221034,-74.162546313522,7,709.05850104
p_1425124,40.735266195273,-74.163075271858,8,768.94173566
p_1425124,40.734937036291,-74.163545989441,9,822.95211088
p_1425124,40.73471097777,-74.163874887589,10,860.39613526
p_1425125,40.734633750439,-74.163635931213,1,0
p_1425125,40.735387218267,-74.162445931213,2,130.78753318
p_1425125,40.736304229471,-74.160896285706,3,296.63224191
